,acc,pre,recall,f1,mcc,auc,ap
mean,0.7606,0.6986,0.4717,0.5611,0.344,0.7693,0.648
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745
