,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9412,0.9698,0.9544,0.9688,0.9666,0.9536
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
