,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9412,0.9698,0.9728,0.9896,0.9864,0.972
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
