,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.4075,0.388,0.56,0.4066,0.4948,0.6154
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
