,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.5288,0.5758,0.6752,0.5061,0.6388,0.8004
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
