,S.cere,C.elegan,E.coli,Drosophila,HPRD,Oryza
mean,0.345,0.4376,0.537,0.4338,0.4744,0.5602
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
