,acc,pre,recall,f1,mcc,auc,ap
mean,0.7896,0.6816,0.6918,0.6866,0.5284,0.8302,0.7554
std,0.00181659,0.007893035,0.016376813,0.004722288,0.005176872,0.003962323,0.003911521
