,acc,pre,recall,f1,mcc,auc,ap
mean,0.7981,0.7113,0.6638,0.6867,0.5388,0.8416,0.75964
std,0.002557342,0.005667186,0.007168473,0.004140652,0.005693242,0.004248882,0.004361536
