,acc,pre,recall,f1,mcc,auc,ap
mean,0.80956,0.7619,0.6244,0.686,0.4719,0.8554,0.77824
std,0.002661391,0.012550578,0.022081395,0.008572223,0.010363011,0.002024352,0.001700882
