,acc,pre,recall,f1,mcc,auc,ap
mean,0.8378,0.7628,0.7458,0.7542,0.6334,0.8888,0.8354
std,0.002167948,0.007463243,0.01112205,0.004024922,0.004929503,0.002167948,0.002408319
