,acc,pre,recall,f1,mcc,auc,ap
mean,0.7791,0.6674,0.6712,0.6693,0.5034,0.8258,0.8051
std,0.000574482,0.002800287,0.008549764,0.002835587,0.001782625,0.001296392,0.001790413
