,acc,pre,recall,f1,mcc,auc,ap
mean,0.7844,0.6874,0.6472,0.667,0.508,0.8264,0.7354
std,0.004722288,0.00680441,0.005540758,0.005830952,0.009055385,0.006188699,0.008049845
