,acc,pre,recall,f1,mcc,auc,ap
mean,0.7315,0.5897,0.6327,0.6098,0.4069,0.7726,0.7486
std,0.008859253,0.019497799,0.02730977,0.004609117,0.008763178,0.011793473,0.010288767
