,acc,pre,recall,f1,mcc,auc,ap
mean,0.7648,0.6484,0.6446,0.6466,0.4704,0.7934,0.6992
std,0.005357238,0.013867228,0.011081516,0.002073644,0.007021396,0.00167332,0.007155418
