,acc,pre,recall,f1,mcc,auc,ap
mean,0.7544,0.6387,0.6077,0.6225,0.4413,0.7907,0.6774
std,0.006457321,0.01453881,0.020959055,0.009881903,0.012998654,0.005678732,0.012489115
