,acc,pre,recall,f1,mcc,auc,ap
mean,0.7838,0.77,0.5125,0.6154,0.3912,0.8297,0.7398
std,0.004068415,0.016984758,0.035402048,0.017165896,0.017949429,0.003610402,0.005325129
