,acc,pre,recall,f1,mcc,auc,ap
mean,0.9648,0.9964,0.93,0.9636,0.867,0.9958,0.997
std,0.00363318,0.00054772,0.00806226,0.00403733,0.01238951,0.00148324,0.001
