,acc,pre,recall,f1,mcc,auc,ap
mean,0.9692,0.9874,0.9506,0.9686,0.8928,0.9951,0.9946
std,0.0059985,0.00476466,0.00910071,0.00621707,0.01944333,0.00135388,0.00175727
