,acc,pre,recall,f1,mcc,auc,ap
mean,0.986,0.9965,0.9755,0.9859,0.9484,0.9965,0.9975
std,0.00354471,0.00155403,0.00638224,0.00342739,0.01336159,0.00251833,0.00154499
