,acc,pre,recall,f1,mcc,auc,ap
mean,0.994,0.9994,0.9886,0.994,0.977,0.9976,0.9986
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443,0.00089443
