,acc,pre,recall,f1,mcc,auc,ap
mean,0.9545,0.9578,0.9511,0.9544,0.8646,0.9806,0.9736
std,0.00578161,0.01249768,0.00513098,0.00513838,0.01094998,0.00318748,0.00680492
