,acc,pre,recall,f1,mcc,auc,ap
mean,0.9883,0.9977,0.9789,0.9882,0.9769,0.9984,0.9988
std,0.00278812,0.00239258,0.00734005,0.0028597,0.00544488,0.00117542,0.00079281
