,acc,pre,recall,f1,mcc,auc,ap
mean,0.9446,0.99,0.8984,0.9422,0.8024,0.9836,0.9884
std,0.00472229,0.00291548,0.01267544,0.00563028,0.01745852,0.00167332,0.00054772
