,acc,pre,recall,f1,mcc,auc,ap
mean,0.8788,0.8864,0.8693,0.8776,0.6590,0.9414,0.9300
std,0.01079667,0.01074812,0.02146166,0.01144552,0.03451171,0.00757014,0.01202776
