,acc,pre,recall,f1,mcc,auc,ap
mean,0.9854,0.9952,0.9752,0.9848,0.9468,0.9962,0.9974
std,0.00219089,0.00228035,0.00618062,0.00258844,0.00980816,0.00130384,0.00114018
