,acc,pre,recall,f1,mcc,auc,ap
mean,0.9551,0.9754,0.9339,0.9541,0.8509,0.9888,0.9902
std,0.00233302,0.00164073,0.00461823,0.00246232,0.00827514,0.00122352,0.00084439
