,acc,pre,recall,f1,mcc,auc,ap
mean,0.9615,0.9846,0.9377,0.9605,0.8668,0.9825,0.9881
std,0.0054669,0.00704961,0.01291898,0.00609631,0.01957251,0.00365144,0.00243352
