,acc,pre,recall,f1,mcc,auc,ap
mean,0.9727,0.9855,0.9596,0.9724,0.9459,0.9926,0.9949
std,0.0063145,0.00515745,0.00973931,0.00647552,0.01247937,0.00221077,0.00102723
