,acc,pre,recall,f1,mcc,auc,ap
mean,0.9649,0.979,0.9501,0.9643,0.8838,0.9933,0.9941
std,0.00239332,0.00538068,0.00790154,0.00446132,0.01627586,0.0010807,0.00072804
