,acc,pre,recall,f1,mcc,auc,ap
mean,0.9919,0.997,0.9868,0.9919,0.9708,0.9981,0.9986
std,0.00090167,0.00247447,0.00204402,0.00088204,0.00299115,0.00037148,0.00022361
