,acc,pre,recall,f1,mcc,auc,ap
mean,0.9008,0.9308,0.8660,0.8972,0.6962,0.9542,0.9497
std,0.0095816,0.00536032,0.0159155,0.01058759,0.02875809,0.00843931,0.01287525
