,acc,pre,recall,f1,mcc,auc,ap
mean,0.956,0.9988,0.912,0.9538,0.8352,0.996,0.9966
std,0.00387298,0.00044721,0.00659545,0.00383406,0.0131225,0.001,0.00054772
