,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.9575,0.7891,0.9256,0.7808,0.76,0.8034,0.9304,0.8838
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178,
