,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.9497,0.7457,0.6782,0.9769,0.7101,0.6837,0.9293,0.7423
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606,
