,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.957,0.8373,0.6669,0.9867,0.7419,0.7044,0.9531,0.8107
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745,
