,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.9746,0.8808,0.8297,0.9889,0.8544,0.841,0.9538,0.8832
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228,
