,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.9707,0.8846,0.7812,0.9898,0.8296,0.8156,0.9669,0.8636
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346,
