,acc,pre,recall,f1,mcc,auc,ap
mean,0.8903,0.86424,0.92616,0.89412,0.725,0.95254,0.95698
std,0.008609588,0.008488698,0.008230917,0.008276291,0.022403906,0.005967244,0.005733847
