,acc,pre,recall,f1,mcc,auc,ap
mean,0.9634,0.9804,0.9458,0.9628,0.8772,0.9908,0.9928
std,0.00194936,0.00270185,0.00311448,0.00204939,0.00584808,0.00148324,0.00083666
