,acc,pre,recall,f1,mcc,auc,ap
mean,0.92936,0.96346,0.89276,0.92672,0.76882,0.96226,0.97334
std,0.00458072,0.00596096,0.0114032,0.00477828,0.01744855,0.00336051,0.0024996
