,acc,pre,recall,f1,mcc,auc,ap
mean,0.8761,0.8193,0.9650,0.8861,0.7376,0.9314,0.8979
std,0.00902757,0.0173864,0.00463929,0.01010213,0.01370675,0.00473107,0.01322074
