,acc,pre,recall,f1,mcc,auc,ap
mean,0.9456,0.968,0.9219,0.9442,0.8924,0.9828,0.9863
std,0.0024238,0.01201963,0.01293805,0.00266516,0.00478135,0.00209254,0.0015223
