,acc,pre,recall,f1,mcc,auc,ap
mean,0.942,0.9906,0.8922,0.9388,0.7924,0.98,0.9862
std,0.00367424,0.0045607,0.00668581,0.00334664,0.01386723,0.00122475,0.00109545
