,acc,pre,recall,f1,mcc,auc,ap
mean,0.9882,0.9903,0.986,0.9882,0.9764,0.997,0.9956
std,0.00059895,0.00171279,0.00228897,0.00061051,0.0011868,0.00053055,0.00085544
