,acc,pre,recall,f1,mcc,auc,ap
mean,0.9566,0.9435,0.9714,0.9573,0.8873,0.9855,0.9811
std,0.0018431,0.00366879,0.00112472,0.00171318,0.00342972,0.00092844,0.00180416
