,acc,pre,recall,f1,mcc,auc,ap
mean,0.9343,0.9586,0.9081,0.9326,0.7895,0.9809,0.9754
std,0.00572128,0.0038959,0.01171764,0.0057912,0.02102349,0.00196291,0.00275899
