,acc,pre,recall,f1,mcc,auc,ap
mean,0.9904,0.9918,0.9894,0.9904,0.9704,0.9982,0.9976
std,0.00114018,0.00083666,0.00230217,0.00114018,0.00472229,0.00044721,0.00054772
