,acc,pre,recall,f1,mcc,auc,ap
mean,0.9795,0.9861,0.9728,0.9794,0.933,0.9952,0.9946
std,0.00114978,0.00367424,0.0017768,0.00110363,0.00208207,0.00055498,0.00106443
