,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7396,0.5987,0.6626,0.7784,0.6294,0.431,0.7788,0.677
std,0.005357238,0.013867228,0.011081516,0.002073644,0.007021396,0.00167332,0.007155418,
