,acc,pre,recall,f1,mcc,auc,ap
mean,0.7041,0.5344,0.8743,0.6633,0.4604,0.8443,0.7519
std,0.00239332,0.00538068,0.00790154,0.00446132,0.01627586,0.0010807,0.00072804
