,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.786,0.6958,0.6279,0.8641,0.6601,0.5061,0.8199,0.7265
std,0.004722288,0.00680441,0.005540758,0.005830952,0.009055385,0.006188699,0.008049845,
