,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7539,0.6405,0.5978,0.832,0.6181,0.4377,0.7876,0.6691
std,0.006457321,0.01453881,0.020959055,0.009881903,0.012998654,0.005678732,0.012489115,
