,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.7403,0.6132,0.6041,0.8027,0.6086,0.4144,0.7759,0.7507
std,0.008859253,0.019497799,0.02730977,0.004609117,0.008763178,0.011793473,0.010288767,
