,acc,pre,recall,spec,f1,mcc,auc,ap
mean,0.785,0.7127,0.6084,0.8746,0.6553,0.4295,0.8336,0.7373
std,0.004068415,0.016984758,0.035402048,0.017165896,0.017949429,0.003610402,0.005325129,
