0.991,1,0.983,0.991,0.966,0.998,0.999
0.995,1,0.99,0.995,0.98,0.998,0.999
0.994,0.997,0.99,0.994,0.978,0.998,0.999
0.996,1,0.991,0.996,0.983,0.996,0.997
0.994,1,0.989,0.994,0.978,0.998,0.999
0.994,0.9994,0.9886,0.994,0.977,0.9976,0.9986
0.001870829,0.001341641,0.003209361,0.001870829,0.006480741,0.000894427,0.000894427
