,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9836,0.9938,0.9942,0.9982,0.9964,0.9924
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
