,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.988,0.9978,0.9938,0.9966,0.9944,0.9912
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
