,S.cere,C.elegan,E.coli,Drosophila,HPRD1,HPRD2
mean,0.9928,0.9986,0.9974,0.999,0.9976,0.9934
std,0.00187083,0.00134164,0.00320936,0.00187083,0.00648074,0.00089443
