,acc,pre,recall,f1,mcc,auc,ap
mean,0.8473,0.8503,0.8488,0.848,0.5914,0.9213,0.9211
std,0.003254996,0.025007859,0.049124464,0.026855074,0.020539669,0.003655817,0.007050745
