,acc,pre,recall,f1,mcc,auc,ap
mean,0.8422,0.8366,0.8526,0.8442,0.6853,0.9101,0.9022
std,0.008006685,0.017454312,0.02007603,0.00814199,0.012732517,0.006877718,0.008119606
