,acc,pre,recall,f1,mcc,auc,ap
mean,0.8274,0.8256,0.8304,0.8278,0.6552,0.8996,0.8824
std,0.012377399,0.017924843,0.009055385,0.010084642,0.019740821,0.011823705,0.020461346
