,acc,pre,recall,f1,mcc,auc,ap
mean,0.8726,0.892,0.8488,0.8694,0.7476,0.9386,0.9294
std,0.007,0.012055428,0.014282857,0.009502631,0.010521407,0.007918333,0.005066228
