,acc,pre,recall,f1,mcc,auc,ap
mean,0.8144,0.8381,0.7703,0.802,0.6305,0.8904,0.8849
std,0.001493593,0.005868988,0.014836443,0.004077689,0.003708268,0.00945932,0.012409178
