,acc,pre,recall,f1,mcc,auc,ap
mean,0.6975,0.5497,0.5119,0.5317,0.308,0.7124,0.5654
std,0.002856921,0.002590753,0.033648551,0.020987544,0.0157733,0.009545156,0.013786515
